,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
Zobowiązania krótkoterminowe,18568.0,12596.0,22404.0,15070.0,19300.0,22348.0,13141.0,10636.0,12291.0,18909.0,17927.0,12876.0,22972.0,22903.0,17471.0,19060.0,26124.0,27126.0,24939.0,23582.0,24258.0,28151.0,26544.0,14502.0,16622.0,26382.0,21161.0,18581.0,20257.0,26452.0,22928.0,19385.0,22167.0,28319.0,20171.0,20435.0,21738.0,36710.0,29151.0,20406.0,26433.0,30978.0,29869.0,27532.0,30058.0,43905.0,33852.0,20136.0,28950.0,30983.0,28651.0,29049.0,27573.0,40760.0,48185.0,30822.0,36962.0,34638.0,32862.0,25921.0,35922.0,41760.0,45491.0,29791.0,39821.0,32828.0,32589.0
Inne zobowiązania krótkoterminowe,0.0,0.0,0.0,0.0,0.0,2543.0,0.0,0.0,0.0,2058.0,0.0,0.0,0.0,2252.0,0.0,0.0,0.0,1660.0,0.0,0.0,0.0,1705.0,0.0,0.0,0.0,1748.0,0.0,0.0,0.0,1784.0,0.0,0.0,0.0,1931.0,0.0,0.0,0.0,285.0,0.0,0.0,0.0,2368.0,0.0,0.0,0.0,3103.0,0.0,0.0,0.0,2621.0,0.0,0.0,0.0,3106.0,0.0,0.0,0.0,2673.0,0.0,0.0,0.0,2871.0,0.0,0.0,0.0,3368.0,0.0
Rozliczenia międzyokresowe,2068.0,3193.0,3624.0,5426.0,5276.0,6353.0,6161.0,5958.0,5795.0,5627.0,5434.0,12731.0,12540.0,12356.0,12166.0,11681.0,11489.0,14809.0,14418.0,14106.0,13724.0,13352.0,12028.0,12913.0,12580.0,13362.0,11030.0,12911.0,12348.0,12476.0,12093.0,11713.0,11461.0,11276.0,11020.0,11514.0,11381.0,11127.0,10928.0,10932.0,10711.0,10574.0,10373.0,10029.0,9866.0,9658.0,9505.0,9393.0,9224.0,9624.0,9566.0,9298.0,9011.0,8902.0,8948.0,8831.0,8885.0,8588.0,8664.0,8450.0,8654.0,8330.0,8368.0,8073.0,8195.0,8360.0,8536.0
Pasywa razem,62317.0,58408.0,74240.0,68070.0,75384.0,76310.0,65237.0,63047.0,65023.0,73554.0,73907.0,75842.0,85726.0,90738.0,86128.0,84279.0,89891.0,96468.0,94064.0,91440.0,91337.0,95737.0,93874.0,89509.0,92247.0,104891.0,100824.0,96420.0,98506.0,105913.0,103158.0,96423.0,99382.0,108558.0,101477.0,99810.0,101009.0,119914.0,114270.0,103572.0,112185.0,120512.0,122564.0,120204.0,122894.0,139708.0,131250.0,117598.0,125936.0,130395.0,127983.0,129332.0,124863.0,138306.0,145537.0,128320.0,129513.0,130334.0,130437.0,120392.0,129210.0,141351.0,149371.0,130656.0,140953.0,140827.0,143417.0
Przepływy pieniężne z działalności operacyjnej,2929.0,-947.0,4457.0,3357.0,-145.0,-5008.0,3233.0,4553.0,-68.0,-622.0,6955.0,-1348.0,3865.0,-3211.0,-133.0,505.0,-1400.0,-4194.0,1770.0,2053.0,348.0,168.0,3715.0,5443.0,569.0,3554.0,-416.0,6760.0,2592.0,14.0,2453.0,2008.0,2974.0,1268.0,820.0,3257.0,1762.0,-1972.0,4469.0,3282.0,5194.0,-611.0,10607.0,4066.0,1041.0,-3264.0,9035.0,2274.0,4214.0,1494.0,5834.0,3826.0,1473.0,737.0,5897.0,1262.0,40.0,-2108.0,2674.0,-12.0,-1916.0,8063.0,9653.0,296.0,5090.0,-2721.0,14616.0
Amortyzacja,372.0,371.0,524.0,534.0,650.0,672.0,697.0,721.0,729.0,733.0,739.0,739.0,744.0,735.0,736.0,1159.0,1170.0,1240.0,1276.0,1295.0,1290.0,1240.0,1209.0,1195.0,1194.0,1184.0,1204.0,1219.0,1221.0,1231.0,1229.0,1242.0,1254.0,1256.0,1306.0,1281.0,1267.0,1272.0,1246.0,1251.0,1282.0,1339.0,1399.0,1374.0,1433.0,1462.0,1539.0,1555.0,1608.0,1651.0,1693.0,1692.0,1661.0,1692.0,1684.0,1571.0,1570.0,1590.0,1723.0,1664.0,1632.0,1666.0,1650.0,1712.0,1734.0,1775.0,1804.0
Przepływy pieniężne z działalności inwestycyjnej,-799.0,-1988.0,-3546.0,-2621.0,-1007.0,8593.0,103.0,2919.0,-285.0,-3832.0,-2527.0,-8719.0,-12954.0,-5497.0,-1730.0,-1005.0,-2697.0,-921.0,-874.0,-623.0,-552.0,-319.0,-379.0,-28.0,-1163.0,-248.0,-1125.0,-790.0,-755.0,-1179.0,-686.0,-526.0,-901.0,-1702.0,-984.0,-999.0,-1963.0,-1101.0,-1003.0,-2855.0,-2240.0,-2318.0,-2503.0,-1701.0,-3541.0,-3734.0,-681.0,-4264.0,-1564.0,-6797.0,3249.0,93.0,-423.0,-2765.0,-31388.0,1092.0,1791.0,19505.0,-5566.0,-9270.0,-2562.0,-2480.0,-8336.0,5462.0,-8277.0,7484.0,-13042.0
CAPEX (niematerialne i rzeczowe),799.0,-97.0,2003.0,3932.0,368.0,1384.0,231.0,352.0,-88.0,600.0,2530.0,8989.0,13099.0,5079.0,1753.0,1020.0,2709.0,1049.0,879.0,638.0,562.0,318.0,599.0,28.0,1163.0,249.0,1194.0,806.0,758.0,1179.0,686.0,566.0,923.0,1710.0,1032.0,1187.0,1993.0,731.0,791.0,2731.0,1545.0,3165.0,1435.0,1413.0,2866.0,4729.0,546.0,2481.0,623.0,5239.0,1131.0,-30.0,491.0,685.0,460.0,707.0,1124.0,6977.0,741.0,592.0,729.0,415.0,2032.0,1546.0,4376.0,511.0,2340.0
Przepływy pieniężne z działalności finansowej,24337.0,582.0,-476.0,-3703.0,3927.0,-5065.0,-4711.0,147.0,-154.0,2719.0,-2865.0,7541.0,180.0,7428.0,2372.0,511.0,2883.0,5397.0,-1147.0,-191.0,3190.0,-3702.0,1594.0,-1048.0,12.0,-359.0,2459.0,-2173.0,-2002.0,-463.0,-2121.0,-112.0,-1858.0,-106.0,-1534.0,-1021.0,-2474.0,9058.0,-7663.0,-1030.0,-942.0,10010.0,2032.0,4035.0,-2417.0,6516.0,-6045.0,-5366.0,-1704.0,-1472.0,-1087.0,7717.0,-8440.0,6763.0,2814.0,-8442.0,-851.0,-3716.0,16.0,-1155.0,3699.0,-6273.0,-283.0,-4520.0,404.0,-4061.0,-953.0
Emisja akcji,24534.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dywidenda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,865.0,0.0,0.0,0.0,0.0,2128.0,0.0,0.0,0.0,2128.0,0.0,0.0,0.0,2128.0,0.0,0.0,0.0,2061.0,0.0,0.0,2993.0,0.0,0.0,0.0,4389.0,0.0,0.0,0.0,0.0,2993.0,0.0,0.0,0.0,2261.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2195.0,0.0,0.0
Przepływy pieniężne razem,26467.0,-2353.0,435.0,-2967.0,2775.0,-1480.0,-1375.0,7619.0,-507.0,-1735.0,1563.0,-2526.0,-8909.0,-1280.0,509.0,11.0,-1214.0,282.0,-251.0,1239.0,2986.0,-3853.0,4930.0,4367.0,-582.0,2947.0,918.0,3797.0,-165.0,-1628.0,-354.0,1370.0,215.0,-540.0,-1698.0,1237.0,-2675.0,5985.0,-4197.0,-603.0,2012.0,7081.0,10136.0,6400.0,-4917.0,-482.0,2309.0,-7356.0,946.0,-6775.0,7996.0,11636.0,-7390.0,4735.0,-22677.0,-6088.0,980.0,13681.0,-2876.0,-10437.0,-779.0,-690.0,1034.0,1238.0,-2783.0,702.0,621.0
