,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
Zobowiązania krótkoterminowe,,,,,0.97,-28.27,-11.45,24.99,139.0,266.77,107.53,-3.58,-22.44,-32.11,-19.92,-24.15,-36.27,-33.74,-41.67,-33.26,6.33,-18.16,-13.35,-3.53,-36.53,-37.54,2.67,-24.13,56.19,-25.5,-44.3,-26.22,-30.64,50.81,79.68,50.94,51.8,-16.07,-30.76,-25.39,-19.58,34.09,26.12,46.64,34.99,23.77,78.08,32.62,22.58,47.22,-28.9,-36.47,-42.1,-26.51,2.73,-29.62,-15.37,-51.25,-48.9,-15.94,-23.59,17.4,-27.68,-18.59,-15.29,-31.69,13.75,-3.72,-1.81,3.74,-13.09,-10.3,-5.0
Inne zobowiązania krótkoterminowe,,,,,-31.37,-22.89,-17.97,-8.14,9.32,44.11,29.36,15.71,40.41,-8.7,-15.33,-38.42,-51.17,57.87,37.49,35.8,47.52,-54.53,-34.5,-28.14,-36.55,-15.99,-37.22,-53.88,-54.09,-59.5,-57.73,-40.77,-34.11,-37.9,-22.33,-20.63,9.89,66.91,12.66,40.15,188.53,65.43,96.91,412.03,94.3,129.43,326.21,35.34,32.37,25.03,-21.51,-31.81,-17.05,-24.45,-39.74,-70.4,-48.14,-57.95,-55.9,12.9,-18.4,19.5,36.14,43.93,25.93,23.62,27.46,-4.41,-6.59,-5.91,0.35,16.4,3.1
Rozliczenia międzyokresowe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pasywa razem,,,,,-14.55,-16.49,14.78,54.35,116.68,162.29,44.54,-11.96,-20.22,-21.01,-5.81,-12.16,-15.57,-26.44,-31.48,-31.09,-19.4,-19.84,-17.37,-8.07,-15.06,-13.34,0.14,-16.98,11.99,-5.53,-11.18,2.89,-3.9,4.7,13.79,8.24,18.1,3.28,-4.88,-5.12,-11.45,8.42,6.5,17.28,5.72,-7.76,11.41,-21.4,-18.71,-1.77,-15.07,-12.13,-13.77,-21.92,-26.65,-19.96,-8.57,-4.98,-1.68,8.59,-3.73,-7.66,-8.63,-5.83,-2.2,3.85,6.88,1.23,3.75,0.1,0.82,5.26,8.45
Przepływy pieniężne z działalności operacyjnej,,,,,-524.17,-1534.95,719.68,-168.8,66.28,-15.03,-178.01,299.83,44.86,129.7,50.06,-23.92,-194.44,-191.07,71.49,-29.94,74.25,7.09,61.92,-56.74,68.33,144.14,389.02,-6.26,1718.73,-1222.52,-42.77,-72.58,-4.25,7.56,-199.74,-47.96,-18.04,25.41,31.5,-644.36,48.77,-90.33,65.02,498.73,-146.64,59.84,2765.18,-106.59,50.86,67.33,-93.99,263.08,161.61,-42.3,-278.44,182.46,160.27,125.37,344.58,-42.13,-38.34,-350.22,-87.3,-22.12,110.3,88.29,948.05,-92.39,33.45,226.91,-64.85,1146.47,-8.16
Amortyzacja,,,,,23.9,8.29,4.56,871.13,109.87,171.33,26.44,-62.83,-6.55,-30.37,42.06,-45.14,-18.7,-34.55,-22.03,-17.34,-23.95,-3.48,-30.88,-28.46,-39.78,-42.46,-50.94,146.02,-0.27,7.95,37.64,-68.77,-5.41,4.26,1.13,-14.11,-7.28,-18.31,-17.45,-0.68,-2.52,21.25,20.29,10.79,6.31,-21.4,-30.78,-32.28,-50.09,-45.05,-38.05,-23.9,0.74,6.05,16.82,-21.21,96.88,98.6,92.68,119.76,-13.87,-33.25,-31.94,-28.06,-23.63,-3.69,-3.25,-1.85,-11.07,0.42,-2.59,-14.62,-5.93
Przepływy pieniężne z działalności inwestycyjnej,,,,,237.91,129.95,-737.22,2406.54,-108.75,-1310.27,89.76,-39.76,457.64,77.33,446.18,-159.3,-111.85,628.16,-71.24,151.9,54.06,-100.2,-122.79,-188.8,1.5,-6008.0,-454.22,-248.92,-65.05,-681.66,58.55,126.67,135.72,68.35,3.32,-123.07,-584.8,-50.48,-3.19,34.13,38.87,-22.69,49.66,-367.6,-82.26,47.43,-47.38,-3.1,84.95,81.89,72.51,102.66,37.01,-10.54,47.76,-578.21,-44.81,22.07,12.84,-39.95,45.9,-45.8,-144.21,67.43,-316.29,-123.74,-444.4,-663.53,-17.56,32.32,59.94,73.57,49.85
CAPEX (niematerialne i rzeczowe),,,,,1.47,-29.09,-83.13,1209.82,-13.84,52.67,71.56,-82.98,-33.8,-73.01,-50.07,-6.42,-22.82,-11.22,-52.22,-87.18,-1.2,-13.87,29.3,164.42,-40.1,-1.81,459.26,311.83,49.44,-67.63,-59.68,-89.12,-12.02,-51.51,110.53,132.82,79.03,1517.3,-53.01,-58.86,-37.38,48.97,-49.71,56.64,81.14,-56.63,89.26,5.21,-78.47,-77.45,-78.45,-102.61,-55.82,8.08,-48.1,575.64,44.38,-22.28,-12.84,94.61,-47.95,45.8,144.21,-76.45,329.13,123.62,444.4,663.53,18.72,-32.28,-59.94,-73.57,-49.38
Przepływy pieniężne z działalności finansowej,,,,,-18298.13,39116.05,-3068.61,2742.85,109.27,91.79,258.74,-227.31,-58.3,-125.22,-99.78,70.91,-301.77,98.65,-16074.55,48.39,316.13,-3374.4,76.79,59.5,-300.6,194.99,-300.2,163.31,99.08,-427.02,78.15,-146.02,-579.78,93.25,71.56,3.05,2181.34,-2645.92,-232.54,1079.73,-156.8,167.63,154.74,-214.32,58.62,-57.26,782.39,62.39,147.29,-105.29,-115.37,186.31,-152.54,-213.9,24.53,-475.1,52.25,-431.56,-384.86,65.25,-865.8,21.98,-26.8,81.75,73.58,-43.92,95.84,-595.78,20.23,1.61,227.12,57.94,-102.34
Emisja akcji,,,,,,-100.0,,,,,-100.0,,,-100.0,,,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-100.0,-100.0,,,,,,,,,,,,,,,,
Dywidenda,,,,,,,,,,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Przepływy pieniężne razem,,,,,-231.62,8.14,-150.84,-38.75,75.85,2182.45,-1529.38,-49.75,141.69,-151.91,41.81,98.08,-621.28,130.35,-55.3,3.11,105.37,-970.82,57.44,-67.55,-1336.83,156.78,-41.58,-6.26,256.82,-957.15,96.4,-43.35,-2.69,39.9,-2072.81,-89.52,51.56,-62.5,-5.06,-345.04,-47.85,48.41,88.98,2551.92,-204.18,59.49,4640.43,-128.3,74.01,43.28,-101.43,197.1,159.11,-51.56,-743.77,-110.37,238.61,42.8,113.7,391.9,-81.64,-100.68,-1347.05,95.62,562.01,11.26,186.08,-227.28,39.51,18.85,-58.53,145.64,-13.11
